Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_NEWARK;SPICEPREFIX
4;;BANANEN_BUCHSE;BANANENBUCHSE;CON_ROT1, CON_ROT2, CON_SW1, CON_SW2;FEMALE HEADER;;;;;
2;;LED_REVERSE_MOUNTSMT1206_REVERSE;1206_LED_REVERSE_MOUNT;LED_G, LED_R;LED;;;;;
1;;OLED_128X32;1X04_OLED;OLED;PIN HEADER;;;;;
2;;PINHD-2X3_SMD;2X03;ISP, SERIAL;PIN HEADER;;;;;
2;;PUSH_BUTTON_ALPS;B3F-31XX;S1, S2;OMRON SWITCH;;B3F-3100;959704;36M3582;
5;0R02;R-EU_R1206;R1206;R4, R5, R6, R7, R8;RESISTOR, European symbol;;;;;R
1;100R;R-EU_R0603;R0603;R10;RESISTOR, European symbol;;;;;R
8;100n;C-EUC0603;C0603;C1, C2, C3, C4, C5, C6, C7, C8;CAPACITOR, European symbol;;;;;C
6;10k;R-EU_R0603;R0603;R3, R12, R13, R14, R15, R17;RESISTOR, European symbol;;;;;R
4;10u;C-EUC0603;C0603;C9, C10, C11, C12;CAPACITOR, European symbol;;;;;C
1;16MHz;RESONATOR1:1;RESONATOR-SMD-1:1;Y1;Resonator;;;;;
1;18R;R-EU_R0603;R0603;R18;RESISTOR, European symbol;;;;;R
1;1N4148;MBR0520LT;SOD123;D1;SCHOTTKY BARRIER RECTIFIER;;;;;
3;1k;R-EU_R0603;R0603;R23, R24, R25;RESISTOR, European symbol;;;;;R
1;22uH;L_1210;R1210;L1;;;;;;
1;2R;R-EU_R0603;R0603;R20;RESISTOR, European symbol;;;;;R
2;2k;R-EU_R0603;R0603;R11, RPROG;RESISTOR, European symbol;;;;;R
2;7k5;R-EU_R0603;R0603;R22, R26;RESISTOR, European symbol;;;;;R
3;90k;R-EU_R0603;R0603;R1, R2, R16;RESISTOR, European symbol;;;;;R
1;ADS1115_IC;ADS1115_IC;MSOP10;IC1;edit this description;;;;;
1;ALPS_Switch;ALPS_SKSGPAE010S;SKHMPXE010;S3;6.2 X 6.5mm TACT Switch (SMD);;;;;
1;ATMEGA328P;ATMEGA328P;TQFP32-08;U1;;;;;;
3;BAT54;BAT54;SOT23;D2, D3, D4;Schottky Diodes;;;;;
3;BSS123;BSS123;SOT23;Q1, Q3, Q5;N-CHANNEL MOS FET;;;;;
1;ENCODER;ENCODER;CI-11;S_ENC;11mm Incemental Encoder;;;unknown;unknown;
1;FS312F-G;FS312F-G;SOT23-6;IC4;edit this description;;;;;
1;FS8205;FS8205;SOT23-6;IC6;;;;;;
3;IRF520;IRF520;TO220BV;Q4, Q6, Q7;HEXFET Power MOSFET;;;;;
1;MT3608;MT3608;SOT23-6;IC5;90% EFFICIENT SYNCHRONOUS BOOST CONVERTER WITH 600-mA SWITCH;;;;;
1;SGM8582;AD826R;SO8;IC2;High-Speed, Low-Power Dual Operational Amplifier;ALTERA CORPORATION;AD826AR;1651291;05F7688;
3;SK129-PAD;SK129-PAD;SK129;KK1, KK2, KK3;HEATSINK manufacturer Fischer/distributor Buerklin;;;;;
8;SOLDER_PAD;SOLDER_PAD;SOLDER_PAD;LED_ON1, LED_ON2, SW_PWR1, SW_PWR2, VBAT+, VBAT-, VUSB+, VUSB-;;;;;;
1;TP4056;TP4056;SOP08;IC3;edit this description;;;;;
1;TXD2SA-4.5V;TXD2SA-4.5V;TXD2SA;K2;TX Relais NAiS;;TXD2SA-4.5V;unknown;13P9531;
